[45710:259:0303/115719.345297:WARNING:chrome_main_delegate.cc(617)] This is Chrome version 110.0.5481.177 (not a warning)
[45710:259:0303/115720.940013:INFO:CONSOLE(243)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: chrome://resources/roboto/roboto-regular.woff2", source: chrome://new-tab-page/new_tab_page.js (243)
[45710:259:0303/115721.619732:INFO:CONSOLE(0)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: chrome://resources/roboto/roboto-medium.woff2", source: chrome://new-tab-page/ (0)
[45710:259:0303/115723.234645:INFO:model_executor_impl.cc(188)] Segmentation model result: 0 for segment OPTIMIZATION_TARGET_SEGMENTATION_SHOPPING_USER
[45710:259:0303/115723.256997:INFO:model_executor_impl.cc(188)] Segmentation model result: 1 for segment CROSS_DEVICE_USER_SEGMENT
[45710:259:0303/115756.000032:INFO:CONSOLE(1)] "=== 正在使用环境变量mpx-fetch进行网络请求 ===", source: https://static.udache.com/webxjs/2.7.29/webx.js (1)
[45710:259:0303/115756.042017:INFO:CONSOLE(1)] "仅支持不为空的对象或数组", source: https://tracker.didistatic.com/static/tracker/latest2x/xspm.min.js (1)
[45710:259:0303/115756.780689:INFO:CONSOLE(20)] "this.config 0111  [object Object]", source: https://static.udache.com/common/trinity-login/2.2.1/login.min.js (20)
[45710:259:0303/115756.781436:INFO:CONSOLE(20)] "[object Object]", source: https://static.udache.com/common/trinity-login/2.2.1/login.min.js (20)
[45710:259:0303/115756.996713:INFO:CONSOLE(1)] "in valid", source: https://static.udache.com/common/trinity-login/2.2.1/chunk-oauth.min.js (1)
[45710:259:0303/115757.000675:INFO:CONSOLE(1)] "env: production", source: https://static.udache.com/common/trinity-login/2.2.1/login.min.js (1)
[45710:259:0303/115757.122265:INFO:CONSOLE(1)] "failed [object Object]", source: https://static.udache.com/ut-webx/ut-welfarecenter/static/js/index.595dc544d398d72951a7.js (1)
[45710:259:0303/115818.346869:INFO:CONSOLE(1)] "=== 正在使用环境变量mpx-fetch进行网络请求 ===", source: https://static.udache.com/webxjs/2.7.29/webx.js (1)
[45710:259:0303/115818.366962:INFO:CONSOLE(1)] "仅支持不为空的对象或数组", source: https://tracker.didistatic.com/static/tracker/latest2x/xspm.min.js (1)
[45710:259:0303/115818.402877:INFO:CONSOLE(20)] "this.config 0111  [object Object]", source: https://static.udache.com/common/trinity-login/2.2.1/login.min.js (20)
[45710:259:0303/115818.410548:INFO:CONSOLE(20)] "[object Object]", source: https://static.udache.com/common/trinity-login/2.2.1/login.min.js (20)
[45710:259:0303/115818.417890:INFO:CONSOLE(1)] "in valid", source: https://static.udache.com/common/trinity-login/2.2.1/chunk-oauth.min.js (1)
[45710:259:0303/115818.418217:INFO:CONSOLE(1)] "env: production", source: https://static.udache.com/common/trinity-login/2.2.1/login.min.js (1)
[45710:259:0303/115818.460260:INFO:CONSOLE(1)] "failed [object Object]", source: https://static.udache.com/ut-webx/ut-welfarecenter/static/js/index.595dc544d398d72951a7.js (1)
[45710:259:0303/115821.886714:INFO:CONSOLE(1)] "=== 正在使用环境变量mpx-fetch进行网络请求 ===", source: https://static.udache.com/webxjs/2.7.29/webx.js (1)
[45710:259:0303/115821.900693:INFO:CONSOLE(1)] "仅支持不为空的对象或数组", source: https://tracker.didistatic.com/static/tracker/latest2x/xspm.min.js (1)
[45710:259:0303/115821.930273:INFO:CONSOLE(20)] "this.config 0111  [object Object]", source: https://static.udache.com/common/trinity-login/2.2.1/login.min.js (20)
[45710:259:0303/115821.930404:INFO:CONSOLE(20)] "[object Object]", source: https://static.udache.com/common/trinity-login/2.2.1/login.min.js (20)
[45710:259:0303/115821.939174:INFO:CONSOLE(1)] "in valid", source: https://static.udache.com/common/trinity-login/2.2.1/chunk-oauth.min.js (1)
[45710:259:0303/115821.939994:INFO:CONSOLE(1)] "env: production", source: https://static.udache.com/common/trinity-login/2.2.1/login.min.js (1)
[45710:259:0303/115821.985835:INFO:CONSOLE(1)] "failed [object Object]", source: https://static.udache.com/ut-webx/ut-welfarecenter/static/js/index.595dc544d398d72951a7.js (1)
[45710:259:0303/120002.872673:INFO:CONSOLE(1)] "=== 正在使用环境变量mpx-fetch进行网络请求 ===", source: https://static.udache.com/webxjs/2.7.29/webx.js (1)
[45710:259:0303/120002.901467:INFO:CONSOLE(1)] "仅支持不为空的对象或数组", source: https://tracker.didistatic.com/static/tracker/latest2x/xspm.min.js (1)
[45710:259:0303/120002.961527:INFO:CONSOLE(20)] "this.config 0111  [object Object]", source: https://static.udache.com/common/trinity-login/2.2.1/login.min.js (20)
[45710:259:0303/120002.962079:INFO:CONSOLE(20)] "[object Object]", source: https://static.udache.com/common/trinity-login/2.2.1/login.min.js (20)
[45710:259:0303/120002.966829:INFO:CONSOLE(1)] "in valid", source: https://static.udache.com/common/trinity-login/2.2.1/chunk-oauth.min.js (1)
[45710:259:0303/120002.971827:INFO:CONSOLE(1)] "env: production", source: https://static.udache.com/common/trinity-login/2.2.1/login.min.js (1)
[45710:259:0303/120003.135325:INFO:CONSOLE(1)] "failed [object Object]", source: https://static.udache.com/ut-webx/ut-welfarecenter/static/js/index.595dc544d398d72951a7.js (1)
[45710:259:0303/120045.810455:WARNING:pref_notifier_impl.cc(41)] Pref observer for media_router.cast_allow_all_ips found at shutdown.
